Hotel In General,,Excellent,V.Good,Good,Average,Poor,Total
Quality Facilities,,16,2,,0,0,18
State of Repair,,14,0,1,0,0,15
Cleanliness,,17,1,0,0,0,18
Friendliness,,18,0,0,0,0,18
Speed & Efficiency of check in,,16,2,0,0,0,18
Speed & Efficiency of check out,,15,1,0,0,0,16
Quality of Facilities,,15,1,0,0,0,16
Cleanliness,,17,0,0,0,0,17
Bed Comfort,,12,3,1,0,0,16
Bathroom Cleanliness & hygiene,,16,1,0,0,0,17
Quality of Amenities,,14,1,1,0,0,16
Wi-Fi Connectivity,,5,3,1,1,5,15
Quality of Food,,11,3,2,0,0,16
Variety of Food,,10,3,1,2,0,16
Food Presentation,,10,4,1,1,0,16
Quality of Service Restaurant,,12,2,2,0,0,16
Quality of beverages,,6,2,0,0,0,8
Variety of beverages,,6,1,0,1,0,8
Pricing,,5,1,1,1,0,8
Quality of Service Bar,,9,0,0,0,0,9
Value for Money,,8,5,2,0,0,15
