Hotel In General,,Excellent,V.Good,Good,Average,Poor,Total
Quality Facilities,,7,0,0,0,0,7
State of Repair,,7,0,0,0,0,7
Cleanliness,,7,0,0,0,0,7
Friendliness,,7,0,0,0,0,7
Speed & Efficiency of check in,,6,1,0,0,0,7
Speed & Efficiency of check out,,6,1,0,0,0,7
Quality of Facilities,,7,0,0,0,0,7
Cleanliness,,7,0,0,0,0,7
Bed Comfort,,7,0,0,0,0,7
Bathroom Cleanliness & hygiene,,7,0,0,0,0,7
Quality of Amenities,,7,0,0,0,0,7
Wi-Fi Connectivity,,2,0,1,2,1,6
Quality of Food,,4,2,1,0,0,7
Variety of Food,,4,1,2,0,0,7
Food Presentation,,5,2,0,0,0,7
Quality of Service Restaurant,,5,1,0,0,0,6
Quality of beverages,,4,0,0,0,0,4
Variety of beverages,,4,0,0,0,0,4
Pricing,,3,0,1,0,0,4
Quality of Service Bar,,4,0,0,0,0,4
Value for Money,,3,2,0,0,,5
