Hotel In General,,Excellent,V.Good,Good,Average,Poor,Total
Quality Facilities,,11,4,0,0,0,15
State of Repair,,8,3,3,0,0,14
Cleanliness,,10,4,0,0,0,14
Friendliness,,12,1,1,0,0,14
Speed & Efficiency of check in,,12,2,0,1,0,15
Speed & Efficiency of check out,,12,2,1,0,0,15
Quality of Facilities,,11,3,1,0,0,15
Cleanliness,,11,1,0,0,0,12
Bed Comfort,,14,0,0,0,0,14
Bathroom Cleanliness & hygiene,,11,3,0,0,0,14
Quality of Amenities,,10,4,0,0,0,14
Wi-Fi Connectivity,,1,6,4,3,1,15
Quality of Food,,1,7,6,1,0,15
Variety of Food,,1,4,7,1,0,13
Food Presentation,,8,1,3,1,0,0
Quality of Service Restaurant,,6,7,1,0,1,15
Quality of beverages,,4,1,2,0,0,7
Variety of beverages,,1,2,4,0,0,7
Pricing,,1,1,0,5,1,8
Quality of Service Bar,,8,1,5,0,0,14
Value for Money,,2,5,2,1,,10
